language,newspaper,article_id,publish_date,entity,entity_exact_word,type,occurrence,paragraph_text,one_step_llm_sentiment,one_step_llm_sentiment_score,two_step_llm_paragraph_type,two_step_llm_sentiment_score,human_label_sentiment,Ons-step
chinese,am730,am730_01,2022-08-22,警隊,警方,HK_ORG_2a,1,巨鱷咬著男屍在水面游動。(互聯網) 驚嚇！墨西哥一名男子被鱷魚咬死，鱷魚還將其遺體拖著游過運河，畫面被民眾拍下並在社交網瘋傳。 阿根廷新聞網站「 infobae 」報道，事發於本月 18 日，塔毛利帕斯州 (Tamaulipas) 坦皮科 (Tampico) 一個公園裡一名男子在湖泊游泳期間，遭鱷魚咬死。遺體被鱷魚拖過運河，到達阿雷納爾街上的下水道。從網民在 Twitter 發布的影片可見，一條大鱷咬著遺體，在水面游動。 警方及消防接報到場搜救，花了 1 個多小時才在下水道找到遺體，確認死者年約 25 歲，身上沒有身份證件，只穿著黑色襯衫。消防指，「行兇」的 3.5 米長的鱷魚事後被捕獲。報道指，該湖泊周圍已張貼標語，警告湖中有鱷魚出沒。 巨鱷把男屍拖入下水道。(互聯網) 露宿者被鱷魚咬死 兩周前，塔毛利帕斯州的馬德羅城 (Ciudad Madero) 一名女孩被鱷魚攻擊，父親跟鱷魚搏鬥了數分鐘，才救回女兒性命。對此，市長呼籲民眾注意安全，不要靠近湖泊以免遭受鱷魚襲擊。 年初至今，塔毛利帕斯州累計 5 人遭鱷魚攻擊身亡，大部分是在開放水域洗澡或洗衣服的露宿者。 「拖男屍」鱷魚被捕獲。(互聯網) 立即更新/下載AM730手機APP 體驗升級功能,neutral,0,factual,0,neutral,
chinese,am730,am730_02,2024-07-22,警隊,警方,HK_ORG_2a,1,西貢大網仔路兩私家車迎頭撞。fb馬路的事 (即時交通資訊台) 西貢發生交通意外。今日（22日）早上7時38分，兩輛私家車在西貢大網仔路近大環村對開迎頭相撞，懷疑其中一車失控越線釀禍。涉事兩車車頭均嚴重損毀，氣袋彈出。現場交通受阻，警方和消防員合力將受損車輛移離行車線。車禍中兩名司機均受輕傷，由救護車送往將軍澳醫院治理，事故原因有待調查。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,factual,0,neutral,
chinese,am730,am730_03,2024-01-09,香港政府,特區政府,HK_ORG_2a,1,楊潤雄(右二)到訪前身為紡織工業建築群的M50創意園。(政府新聞處) 文化體育及旅遊局局長楊潤雄繼續上海訪問行程，今日(9日)聯同常任秘書長黃智祖，與上海市體育局局長徐彬會面，介紹香港作為體育盛事之都，特區政府鼓勵及支持香港運動員、體育總會加強與內地體育界交流，尤其歡迎上海市的運動員及市民來港參與體育賽事。 楊潤雄與黃智祖亦到訪前身為紡織工業建築群的M50創意園，了解當地工業區和舊建築如何經歷改造升級，以培育和吸引人才，透過匯聚中外藝術家帶動文化藝術發展；他們亦有參觀上海體育場。楊潤雄明日將考察上海迪士尼樂園度假區，傍晚返港。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,positive,0.5,factual,0,positive,
chinese,am730,am730_04,2023-04-18,警隊,警員 | 警方 | 警務人員 | 便衣,HK_ORG_2a,12,屯門毒品快餐車遭攔截照開車逃去 警員被拖行手腳受傷送院。（fb「車cam L（香港群組）」圖片） 一名警員在追截車輛時被車拖走受傷！ 今日上午 10 時許，屯門震寰路近良景邨發現一輛私家車，疑持毒品往大興邨方向駛去，一名駕駛者發現該輛車形迹可疑，於是報警求助。 警方接報到場，追截該輛私家車，其間有警員在屯門鄉事會路 V City ，發現該私家車駛出停車場，於是上前截查，豈料，打開車門之際對方不止沒停下，更突然倒車撞向後方，將一輛電單車撞倒，並撞倒警員。幸電單車司機靈敏立即跳車，沒有受傷；警員則擦傷手腳，由救護車送院治理，警方將案件列阻礙警務人員執行職務、襲警及瘋狂駕駛，正追緝涉事 一名 40 餘歲肥身材男子，事發時身穿深色上衣，束短髮的司機及該車輛。 CCTV片段可見警員疑被夾走 事發時車 Cam 片段其後在網上流傳，從片段中可見，涉事私家車停在 V City 落客區，多名便衣警員上門截停調查，後方有一輛電單車，惟私家車突然倒車，撞跌後方電單車。私家車司機位車門仍然打開下，加速駛走，其中一名警員疑被車夾住拖走。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,factual,0,neutral,
chinese,am730,am730_05,2023-03-18,警隊,警方,HK_ORG_2a,1,兩軍火迷帶探測器黃泥涌行山 探出二戰日式手榴彈。（有線電視新聞截圖） 有人於大潭黃泥涌發現二戰 手榴 彈！ 今日早上 10 時許， 兩名軍事愛好者帶備金屬探測器到黃泥涌大潭郊遊徑行山，在一處山坡發現一枚圓筒形的手榴彈，於是報警。 該杖手榴彈屬於日軍九一式，體積約 7 厘米乘 12 厘米 。 消防接報到場戒備，警方軍火專家到場安全處理，無人受傷 ，毋須疏散。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,factual,0,neutral,
chinese,am730,am730_06,2021-06-21,香港政府,港府,HK_ORG_2a,3,邱太三表示暫不考慮撤館。(互聯網) 台灣駐港機構「台北經濟文化辦事處」 今起調整業務運作方式 ，主要的港人申請赴台停留、居留方式原則上不變，繼續分別透過網上申辦及親赴辦事處辦理；在港大陸居民入台證亦是透過網上申請，但團聚和結婚登記面談改為抵台後辦理入境手續前。至於招收港生程序則將會簡化，並建立網上報名機制，設置招生諮詢服務專線等。 相關新聞： 國台辦：台駐港機構當然不能違反一中原則 陸委會指出，香港辦事處面對的是「委屈不能求全，忍辱不能負重」變局，批評港府自2018年7月起以簽署「一中承諾書」，作為辦事處台籍人員獲發簽證的條件，還將這種無理要求擴至台灣在港民間團體(外貿協會)及非屬駐港辦事處編制單位(觀光局)，「目的顯在矮化我國格，逼使我駐處人員必須向北京當局低頭，我方當然堅拒接受，但基於對台港民眾權益的考量，我方仍持續和港府溝通，很遺憾未獲得善意回應，致我港處派駐人員皆無法續留及赴任」。陸委會表示，為維持辦事處必要運作，勉力為民服務，遂作出今次應變規劃。 陸委會主委邱太三則透露，港府在本月7日通知台方，想台北經濟文化辦事處人員續留，必須在14日之前簽署「一中承諾書」，否則須在21日離開，而目前代理處長等7名台方人員已返台，僅1名經濟部派駐官員留守至7月底簽證到期。他表示，除非有其他因素導致業務無法展開，否則不會考慮撤館。 力寶中心辦事處租約到期後搬 他又提到，台方在港辦公處主要有4處，主要在金鐘力寶中心40樓，租約下月到期後，不會續租；11樓屬於移民署的辦公處，租約8月到期，會爭取續租半年；另外兩個辦公處灣仔中環廣場49樓及15樓，租約分別在2023年3月及6月屆滿，會續租，原在力寶中心的辦公人員將搬到中環廣場辦公處。 他強調，「再次提醒北京，你們最常提的中華文化裡面，以力服人，絕對不是心服也，能夠以德服人，才是真正中華文化的精粹，北京可以好好去思考這句話。」 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,negative,-0.5,evaluative,-0.6,negative,
chinese,am730,am730_07,2021-04-19,示威,示威,HK_CONCEPT_5d,2,一名日本記者據報被緬甸軍方人員帶走。(AP) 緬甸緊張局勢持續，日本傳媒報道，一名日本記者在緬甸仰光被軍方人員帶走。 報道引述目擊者指，軍方安全部隊人員周日晚到曾任職《日本經濟新聞》的自由記者北角裕樹位於仰光的住所搜查，並帶走北角裕樹和一箱物件。在北角裕樹被帶走前大約3小時，他曾在社交網站上載一段緬甸和日本僧侶在東京增上寺悼念緬甸死亡示威者的片段。 據報北角裕樹目前正被扣押在拘留所，日本駐當地大使館正嘗試聯絡確定他的下落。 北角裕樹今年2月在採訪緬甸示威期間，亦曾遭到緬甸警方拘留，其後獲釋。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,factual,0,neutral,
chinese,am730,am730_07,2021-04-19,社運人士,示威者,HK_ORG_2b,1,一名日本記者據報被緬甸軍方人員帶走。(AP) 緬甸緊張局勢持續，日本傳媒報道，一名日本記者在緬甸仰光被軍方人員帶走。 報道引述目擊者指，軍方安全部隊人員周日晚到曾任職《日本經濟新聞》的自由記者北角裕樹位於仰光的住所搜查，並帶走北角裕樹和一箱物件。在北角裕樹被帶走前大約3小時，他曾在社交網站上載一段緬甸和日本僧侶在東京增上寺悼念緬甸死亡示威者的片段。 據報北角裕樹目前正被扣押在拘留所，日本駐當地大使館正嘗試聯絡確定他的下落。 北角裕樹今年2月在採訪緬甸示威期間，亦曾遭到緬甸警方拘留，其後獲釋。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,factual,0,neutral,
chinese,am730,am730_07,2021-04-19,警隊,警方,HK_ORG_2a,1,一名日本記者據報被緬甸軍方人員帶走。(AP) 緬甸緊張局勢持續，日本傳媒報道，一名日本記者在緬甸仰光被軍方人員帶走。 報道引述目擊者指，軍方安全部隊人員周日晚到曾任職《日本經濟新聞》的自由記者北角裕樹位於仰光的住所搜查，並帶走北角裕樹和一箱物件。在北角裕樹被帶走前大約3小時，他曾在社交網站上載一段緬甸和日本僧侶在東京增上寺悼念緬甸死亡示威者的片段。 據報北角裕樹目前正被扣押在拘留所，日本駐當地大使館正嘗試聯絡確定他的下落。 北角裕樹今年2月在採訪緬甸示威期間，亦曾遭到緬甸警方拘留，其後獲釋。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,factual,0,neutral,
chinese,am730,am730_08,2020-09-14,示威,遊行 | 示威,HK_CONCEPT_5d,5,"醫護持著各種各樣的抗議標語遊行。(路透社) 有人展示表達醫護求救的漫畫。(路透社) 有醫護帶同孩子上街。(路透社) 醫護手持抗議標語浩浩蕩蕩遊行。(路透社) 受新冠肺炎疫情影響，比利時各政黨自去年5月大選至今，仍無法組成能穩定運作的內閣，政府施政未能回應社會所需，迫使約4,000名醫護周日走上布魯塞爾街頭，訴求政府增加醫療開支並提高醫護工資等。他們戴著口罩、手持「關心醫護」等標語浩浩蕩蕩遊行。其中任職護士32年的Marie-Stella說：「我們來到布魯塞爾示威，要求(政府)對我們的工作更多尊重，我們有更好的薪酬。」精神科護士Claudine則說：「我樂於給民眾提供合乎人道及高質素的照顧，為了可達到這樣的服務水平，我們需要財政支援。」 發起示威的醫護組織La Sante en Lutte稱，今次疫情暴露了比利時醫療系統的脆弱，包括未能給予醫療人員充分的保護，也無法做到足夠的檢測量。 比利時累計93,455人確診，9,925人死亡，每10萬人染疫死亡的比例為全球第三高，僅次於歐洲小國聖馬利諾(San Marino)及南美國家秘魯。比利時政府指，每10萬人死亡率如此高，是因為該國只要疑似染疫死者即一律列入統計，不像部分國家要證實染疫後才計算入內。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多",neutral,0,factual,0,neutral,
